date,server_name,short_name,status,ip_address
24 03 2020 09:50:02,splunk2.ops.com,splunk2.ops.com,Up,192.168.1.128
24 03 2020 09:50:02,splunk1.ops.com,splunk1.ops.com,Unreachable,192.168.1.127
